0|261.418278|335.573431|94.363028|246.376403|49.314278|306.854028|312.362648|335.918440|155.918440
1|293.042694|27.841509|84.025333|301.048958|47.879630|338.061944|315.412602|334.187606|154.187606
2|321.322667|37.433111|81.771000|334.467222|49.321556|354.165889|318.773278|332.779778|152.779778
3|352.112667|88.186111|89.216944|325.806111|53.329722|340.595500|322.475389|331.126444|151.126444
4|21.337556|123.598009|102.462528|9.044454|58.855972|340.800903|325.374713|329.553616|149.553616
5|51.036056|169.558287|118.747847|66.465486|65.636116|5.477000|327.563741|327.906620|147.906620
6|79.536667|202.120861|135.678898|97.502778|72.557352|37.486907|328.272486|326.231394|146.231394
7|109.015750|247.141565|154.261500|92.037847|79.460963|73.007639|327.558875|324.674171|144.674171
8|138.823500|294.178000|173.947944|139.433667|85.306444|109.857000|325.515667|322.950889|142.950889
9|168.186833|330.454944|194.307944|190.468778|89.651722|146.413333|322.420167|321.362778|141.362778
10|199.096056|21.977019|216.358861|203.953616|91.862806|184.698264|321.897069|319.797606|139.797606
11|229.499833|60.103264|239.420199|209.510403|91.414611|220.032861|323.299556|318.202329|138.202329
12|260.688556|190.691148|246.877880|236.660264|11.639875|222.703014|302.223806|355.303440|175.303440
13|292.312972|238.439009|270.673750|285.758144|13.187153|260.607352|304.603333|353.678935|173.678935
14|321.596278|261.346444|293.170889|335.196667|18.158167|296.840889|307.983556|352.058667|172.058667
15|352.369611|312.791667|317.234444|347.338333|24.204667|335.297111|311.427000|350.405333|170.405333
16|21.590056|350.982176|340.342824|358.313065|31.032796|12.377611|313.960542|348.885282|168.885282
17|51.288556|42.253236|4.930528|55.038602|38.674435|52.164278|315.386685|347.185282|167.185282
18|79.789167|78.026417|26.139472|103.415792|45.162528|88.101153|315.531653|345.670005|165.670005
19|109.268250|124.721565|47.267250|105.982148|51.052259|125.645917|314.201167|344.006343|164.006343
20|139.076000|169.384667|66.486778|127.265611|55.368667|162.850444|311.822389|342.388944|162.388944
21|168.801111|206.702222|82.275833|180.030463|57.111806|199.791389|309.950370|340.675046|160.675046
22|199.348556|248.551185|94.272778|220.906301|56.436694|235.660667|309.381588|339.129829|159.129829
23|229.752333|284.307213|99.649694|212.029352|52.811903|272.908204|310.378144|337.481495|157.481495
24|260.941611|68.127875|47.687556|244.729306|337.991653|277.343907|291.021741|14.582546|194.582546
25|292.566028|112.830398|48.604111|272.771949|343.038389|316.255352|294.415759|13.010662|193.010662
26|320.846000|121.451444|56.685167|322.625889|348.718611|350.979167|297.611944|11.443889|191.443889
27|351.636000|166.971111|70.601889|7.868056|355.933778|28.043500|300.628944|9.896444|189.896444
28|20.860333|201.936620|86.295458|0.221667|3.112796|62.920852|302.702690|8.217505|188.217505
29|50.558833|252.144676|104.203907|37.391667|9.954778|96.846722|303.532222|6.570560|186.570560
30|79.059444|289.918639|122.198833|92.498028|15.380528|123.157412|303.244681|5.055005|185.055005
31|108.538528|342.062676|141.211769|131.896093|19.382227|128.871838|301.501556|3.338060|183.338060
32|138.346278|32.211333|160.830611|123.063333|20.867556|111.253667|299.024000|1.773944|181.773944
33|167.709611|67.146833|180.546056|163.438000|19.399667|122.659778|297.627667|0.185833|180.185833
34|198.618833|112.671185|201.806708|216.220208|15.602694|152.836083|297.648903|358.461713|178.461713
35|229.022611|145.341597|223.532542|238.851204|12.100819|186.428833|298.927681|356.866218|176.866218
36|261.199667|300.431486|231.380056|272.824167|307.659741|268.960787|280.834565|33.905940|213.905940
37|292.824083|349.429565|254.553866|266.538125|314.112583|257.596389|284.463907|32.281495|212.281495
38|321.104056|358.396444|275.824500|308.321111|320.863889|275.173444|287.514611|30.873667|210.873667
39|21.113389|76.839676|321.650019|29.675495|334.262935|339.209704|291.715921|27.541116|207.541116
40|50.811889|121.928565|344.759014|29.330833|339.949625|14.953556|292.135389|26.000509|206.000509
41|79.312500|156.155028|6.239639|78.339000|343.291778|50.975824|291.175648|24.325560|204.325560
42|108.791583|205.758231|27.163000|132.010833|344.255824|88.039028|289.006083|22.661949|202.661949
43|138.599333|257.393000|45.399333|144.711556|342.097500|125.415889|286.833167|21.044778|201.044778
44|167.962667|295.471833|58.900167|153.262611|338.049778|162.310667|286.076444|19.509500|199.509500
45|198.871889|346.314796|64.619417|203.864856|335.257389|201.076819|286.572278|17.891495|197.891495
46|229.275667|21.837708|57.823528|248.750046|335.081940|238.401819|288.228593|16.296157|196.296157
47|261.452167|164.361208|9.153167|278.085602|280.008546|240.011565|271.157259|53.344273|233.344273
48|293.076583|216.604009|23.366861|280.555278|287.252056|279.199648|274.656213|51.613440|231.613440
49|321.356556|226.213111|37.930778|297.082667|293.503167|314.706278|277.406000|50.205611|230.205611
50|352.146556|277.326667|55.273056|351.257667|299.996389|353.698778|279.886833|48.499222|228.499222
51|21.371444|313.080231|72.731509|40.166204|304.689843|30.733560|280.958944|46.979171|226.979171
52|51.069944|359.451343|91.222259|39.274259|307.621417|69.043986|280.891403|45.332505|225.332505
53|79.570556|32.091139|109.785079|65.738782|307.892417|105.664398|279.317394|43.657782|223.657782
54|109.049639|76.946843|129.344653|121.080069|305.091500|142.162583|276.936500|42.100005|222.100005
55|138.857389|123.531333|148.838889|164.502722|300.934167|178.150222|275.229889|40.376444|220.376444
56|168.220722|159.468278|168.281611|155.260000|298.750667|212.854333|274.853333|38.788389|218.788389
57|199.515833|216.198704|189.130741|191.058611|299.388333|245.830556|275.880509|37.203102|217.203102
58|229.533722|248.865764|209.368944|241.546394|302.503042|269.072963|277.772477|35.628440|215.628440
59|260.722444|20.424759|215.753102|267.257431|254.062028|294.150509|261.372546|72.729273|252.729273
60|292.346861|67.707898|237.095481|306.489537|261.133991|331.966588|264.815213|71.104551|251.104551
61|321.630167|90.399778|257.823333|296.248444|266.602889|6.082889|267.458444|69.484722|249.484722
62|352.403500|141.541667|280.016611|337.159333|271.211667|38.330000|269.298889|67.831167|247.831167
63|21.623944|179.702454|301.402139|32.350278|273.424278|61.173731|270.044583|66.311394|246.311394
64|51.322444|231.285458|322.112148|68.907468|273.149704|59.451815|269.437694|64.611671|244.611671
65|79.823056|267.388917|340.619981|61.133426|270.310194|47.827176|267.297194|63.095838|243.095838
66|109.302139|314.540731|357.138722|108.180287|266.145528|65.700495|265.222111|61.378894|241.378894
67|109.302139|314.540731|357.138722|108.180287|266.145528|65.700495|265.222111|61.378894|241.378894
68|168.473222|32.069944|5.590833|181.871111|265.206278|128.578278|264.217889|58.120556|238.120556
69|199.382444|78.042574|357.883361|181.847685|268.413944|165.205486|265.437301|56.502329|236.502329
70|229.786222|113.442769|359.310315|228.374250|273.561662|201.999417|267.927435|54.907329|234.907329
