R1=1,0,236,0,-6,0
R2=1,30,239,26,-6,0
R3=1,60,242,10,-7,0
R4=1,85,243,47,-8,0
R5=1,110,244,48,-8,0
R6=1,130,245,20,-8,0
R7=1,150,244,7,-8,0
R8=1,165,243,37,-8,0
R9=1,175,242,40,-8,0
R10=1,185,241,58,-8,0
R11=1,193,241,13,-8,0
R12=1,203,240,8,-8,0
R13=1,213,238,48,-8,0
R14=1,228,239,2,-8,0
R15=1,248,238,22,-8,0
R16=1,268,238,38,-7,0
R17=1,293,239,30,-7,0
R18=1,318,241,7,-7,0
R19=1,348,243,55,-7,0
R20=1,378,246,20,-7,0
R21=2,0,246,20,-7,0
R22=2,30,250,43,-7,0
R23=2,60,253,22,-8,0
R24=2,85,254,54,-8,0
R25=2,110,255,40,-8,0
R26=2,130,255,40,-9,0
R27=2,150,255,8,-9,0
R28=2,165,254,14,-9,0
R29=2,175,253,35,-9,0
R30=2,185,252,48,-9,0
R31=2,193,252,9,-9,0
R32=2,203,251,23,-9,0
R33=2,213,250,47,-9,0
R34=2,228,250,0,-9,0
R35=2,248,249,35,-8,0
R36=2,268,249,43,-8,0
R37=2,293,250,38,-8,0
R38=2,318,252,20,-8,0
R39=2,348,255,6,-8,0
R40=2,378,258,31,-8,0
R41=3,0,258,31,-8,0
R42=3,30,261,50,-8,0
R43=3,60,264,29,-8,0
R44=3,85,265,56,-9,0
R45=3,110,266,47,-9,0
R46=3,130,266,37,-9,0
R47=3,150,266,3,-9,0
R48=3,165,265,8,-9,0
R49=3,175,264,6,-9,0
R50=3,185,263,37,-9,0
R51=3,193,262,59,-9,0
R52=3,203,262,14,-9,0
R53=3,213,261,38,-9,0
R54=3,228,260,56,-9,0
R55=3,248,260,33,-9,0
R56=3,268,260,48,-8,0
R57=3,293,261,30,-8,0
R58=3,318,263,23,-8,0
R59=3,348,266,12,-8,0
R60=3,378,269,40,-7,0
R61=4,0,269,40,-7,0
R62=4,30,272,57,-8,0
R63=4,60,275,33,-8,0
R64=4,85,277,20,-8,0
R65=4,110,277,40,-8,0
R66=4,130,277,42,-8,0
R67=4,150,276,51,-8,0
R68=4,165,275,58,-9,0
R69=4,175,275,15,-9,0
R70=4,185,274,27,-9,0
R71=4,193,273,48,-9,0
R72=4,203,273,4,-9,0
R73=4,213,272,28,-9,0
R74=4,228,271,51,-9,0
R75=4,248,271,26,-9,0
R76=4,268,271,41,-9,0
R77=4,293,272,44,-8,0
R78=4,318,274,26,-8,0
R79=4,348,277,21,-7,0
R80=4,378,280,52,-7,0
R81=5,0,280,52,-7,0
R82=5,30,284,8,-7,0
