R1=1,0,180,0,-4,0
R2=1,30,186,28,-4,0
R3=1,60,192,10,-5,0
R4=1,90,196,38,-5,0
R5=1,110,198,41,-5,0
R6=1,130,198,44,-6,0
R7=1,150,199,38,-6,0
R8=1,165,198,48,-6,0
R9=1,175,197,48,-6,0
R10=1,185,196,33,-7,0
R11=1,195,195,24,-7,0
R12=1,204,194,12,-7,0
R13=1,214,192,56,-7,0
R14=1,224,191,52,-6,0
R15=1,234,191,2,-6,0
R16=1,249,190,19,-6,0
R17=1,269,190,25,-6,0
R18=1,289,191,41,-5,0
R19=1,309,193,49,-5,0
R20=1,339,198,6,-5,0
R21=1,369,204,8,-5,0
R22=1,399,210,50,-4,0
R23=2,0,210,50,-4,0
R24=2,30,217,14,-4,0
R25=2,60,222,51,-5,0
R26=2,90,227,11,-5,0
R27=2,110,229,8,-5,0
R28=2,130,230,2,-5,0
R29=2,150,229,47,-5,0
R30=2,165,229,48,-5,0
R31=2,175,221,48,-5,0
R32=2,185,226,33,-5,0
R33=2,195,225,12,-5,0
R34=2,204,224,3,-5,0
R35=2,214,222,48,-5,0
R36=2,224,221,48,-5,0
R37=2,234,220,8,-5,0
R38=2,243,222,28,-5,0
R39=2,269,222,46,-4,0
R40=2,289,222,12,-4,0
R41=2,309,224,33,-4,0
R42=2,339,229,25,-3,0
R43=2,369,235,26,-3,0
R44=2,399,242,5,-4,0
R45=3,0,242,5,-4,0
R46=3,30,248,37,-2,0
R47=3,60,254,20,-2,0
R48=3,90,258,44,-1,0
R49=3,110,261,39,-1,0
R50=3,130,261,31,-1,0
R51=3,150,261,11,-1,0
R52=3,165,260,7,-1,0
R53=3,175,259,3,-1,0
R54=3,185,257,56,-1,0
R55=3,195,256,25,-1,0
R56=3,204,255,11,-1,0
R57=3,214,253,59,-1,0
R58=3,224,253,0,-1,0
R59=3,234,252,22,-1,0
R60=3,249,252,53,-1,0
R61=3,269,252,21,-1,0
R62=3,289,254,15,-1,0
R63=3,309,255,27,-1,0
R64=3,339,261,33,0,0
R65=3,369,267,52,0,0
R66=3,399,274,42,1,0
R67=4,0,274,42,1,0
R68=4,30,281,11,2,0
R69=4,60,287,26,2,0
R70=4,90,293,3,2,0
R71=4,110,295,6,3,0
R72=4,130,295,4,3,0
R73=4,150,294,50,3,0
R74=4,165,293,48,3,0
R75=4,175,292,44,3,0
R76=4,185,291,30,3,0
R77=4,195,290,4,3,0
R78=4,204,288,50,3,0
R79=4,214,237,35,1,0
R80=4,224,236,31,1,0
R81=4,234,285,56,1,0
R82=4,249,285,28,2,0
R83=4,269,286,0,2,0
R84=4,289,287,40,2,0
R85=4,309,290,17,3,0
R86=4,339,296,33,3,0
R87=4,369,301,0,4,0
R88=4,399,309,10,4,0
R89=5,0,309,10,4,0
R90=5,30,316,10,4,0
R91=5,60,322,3,4,0
R92=5,90,327,16,5,0
R93=5,110,329,29,5,0
R94=5,130,330,41,5,0
R95=5,150,330,36,6,0
R96=5,165,329,42,6,0
R97=5,175,328,45,6,0
R98=5,185,327,30,6,0
R99=5,195,326,8,6,0
R100=5,204,324,50,6,0
R101=5,211,321,34,6,0
R102=5,224,322,29,6,0
R103=5,234,321,45,6,0
R104=5,249,321,12,6,0
R105=5,269,321,37,5,0
R106=5,282,323,8,5,0
R107=5,301,323,45,5,0
R108=5,331,331,3,5,0
R109=5,360,337,28,5,0
R110=5,391,344,44,5,0
R111=6,0,344,44,5,0
R112=6,30,351,52,5,0
R113=6,60,351,15,5,0
R114=6,90,3,19,5,0
R115=6,110,5,42,5,0
R116=6,130,7,5,6,0
R117=6,150,7,14,6,0
R118=6,165,6,30,6,0
R119=6,175,5,36,6,0
R120=6,185,4,27,6,0
R121=6,195,3,6,7,0
R122=6,204,1,42,7,0
R123=6,214,0,29,7,0
R124=6,224,359,22,6,0
R125=6,234,358,27,6,0
R126=6,249,357,47,6,0
R127=6,269,358,0,6,0
R128=6,289,358,24,5,0
R129=6,308,1,50,5,0
R130=6,339,6,59,5,0
R131=6,369,13,22,5,0
R132=6,399,20,30,5,0
R133=7,10,20,30,5,0
R134=7,30,27,41,5,0
R135=7,60,34,8,5,0
R136=7,90,39,24,5,0
R137=7,110,41,51,5,0
R138=7,130,43,27,5,0
R139=7,150,43,48,5,0
R140=7,165,43,12,6,0
R141=7,175,42,25,6,0
R142=7,185,41,16,6,0
R143=7,195,40,4,6,0
R144=7,205,38,48,6,0
R145=7,217,37,52,6,0
R146=7,224,36,11,6,0
