R1=1,0,90,0,1.0,-1.0,0.0
R2=1,40,139,0,-1.0,-1.0,0.0
R3=1,80,188,20,0.0,0.0,0.0
R4=1,110,225,5,0.5,0.0,0.0
R5=1,140,261,35,1.0,1.0,0.0
R6=1,160,285,54,1.0,1.0,0.0
R7=1,180,309,49,1.0,2.0,0.0
R8=1,195,327,12,0.0,2.0,0.0
R9=1,210,344,16,0.0,1.0,0.0
R10=1,220,354,17,0.0,2.0,0.0
R11=1,230,4,6,0.0,1.5,0.0
R12=1,238,11,36,0.0,0.0,0.0
R13=1,246,17,56,0.0,0.0,0.0
R14=1,252,22,22,0.0,0.0,0.0
R15=1,258,26,0,0.0,0.0,0.0
R16=1,264,28,44,0.0,0.0,0.0
R17=1,270,30,18,-1.0,0.0,0.0
R18=1,276,30,30,-1.0,0.0,0.0
R19=1,282,28,58,-1.0,0.0,0.0
R20=1,288,24,47,-1.0,0.0,0.0
R21=1,296,19,11,-1.5,0.0,0.0
R22=1,302,16,21,-1.5,0.0,0.0
R23=1,308,13,37,-1.5,0.0,0.0
R24=1,314,12,31,-2.0,0.0,0.0
R25=1,320,12,42,-1.5,0.0,0.0
R26=1,326,14,51,-1.5,0.0,0.0
R27=1,332,17,42,-2.0,0.0,0.0
R28=1,338,21,29,-2.0,0.0,0.0
R29=1,346,27,33,-2.0,-1.5,0.0
R30=1,354,34,8,-2.0,-1.5,0.0
R31=1,364,43,35,-2.5,-1.0,0.0
R32=1,374,53,59,-2.0,-1.0,0.0
R33=1,389,69,43,-1.5,-2.0,0.0
R34=1,404,85,51,-1.0,-2.0,0.0
R35=1,424,108,45,0.0,-1.0,0.0
R36=1,444,132,58,0.0,-1.0,0.0
R37=1,474,169,15,0.0,0.0,0.0
R38=1,504,205,33,-1.0,0.0,0.0
R39=1,544,255,33,0.5,1.0,0.0
R40=1,584,306,39,0.0,1.0,0.0
R41=2,0,306,48,0.0,1.0,0.0
R42=2,40,356,14,0.0,0.0,0.0
R43=2,80,45,40,-0.5,0.0,0.0
R44=2,110,82,5,-1.0,-0.5,0.0
R45=2,140,117,31,-1.0,-1.5,0.0
R46=2,160,140,49,0.0,-1.5,0.0
R47=2,180,163,31,0.0,-1.0,0.0
R48=2,195,180,44,0.0,0.0,0.0
R49=2,210,196,53,0.0,0.0,0.0
R50=2,220,207,5,0.0,0.0,0.0
R51=2,230,216,40,0.0,0.0,0.0
R52=2,238,223,26,1.0,0.0,0.0
R53=2,246,229,34,1.0,0.0,0.0
R54=2,252,233,24,1.5,0.0,0.0
R55=2,258,236,20,2.0,0.0,0.0
R56=2,264,238,15,3.0,0.0,0.0
R57=2,270,238,55,4.0,1.0,0.0
R58=2,276,237,56,5.0,1.0,0.0
R59=2,282,234,46,7.0,1.0,0.0
R60=2,288,231,1,8.0,1.5,0.0
R61=2,296,225,30,8.0,1.0,0.0
R62=2,302,222,54,7.0,1.0,0.0
R63=2,308,221,26,7.0,1.0,0.0
R64=2,314,221,43,6.0,1.5,0.0
R65=2,320,223,19,5.0,1.0,0.0
R66=2,326,226,9,5.0,2.0,0.0
R67=2,332,229,54,4.0,2.0,0.0
R68=2,338,234,24,3.0,2.0,0.0
R69=2,346,241,5,3.0,2.0,0.0
R70=2,354,248,38,2.0,2.0,0.0
R71=2,364,258,45,1.0,2.5,0.0
R72=2,374,269,22,1.0,2.0,0.0
R73=2,389,285,57,0.0,2.0,0.0
R74=2,404,302,58,0.0,1.0,0.0
R75=2,426,321,12,0.0,0.0,0.0
R76=2,444,349,56,0.0,0.0,0.0
R77=2,474,26,7,-1.0,-0.5,0.0
R78=2,504,62,27,-1.0,-1.0,0.0
R79=2,544,110,53,-0.5,-1.0,0.0
R80=2,584,160,24,0.0,0.0,0.0
R81=3,0,160,24,0.0,0.0,0.0
R82=3,40,210,10,0.0,0.0,0.0
R83=3,80,259,56,0.5,1.5,0.0
R84=3,110,297,30,1.0,1.5,0.0
R85=3,140,334,20,0.0,1.0,0.0
R86=3,150,318,12,0.0,1.5,0.0
R87=3,180,21,34,0.0,0.0,0.0
R88=3,195,38,38,0.0,0.0,0.0
R89=3,210,54,53,-1.0,0.0,0.0
R90=3,220,65,26,-1.0,0.0,0.0
R91=3,230,75,6,-2.0,0.0,0.0
R92=3,238,82,18,-3.0,-1.0,0.0
R93=3,246,88,24,-3.0,-1.0,0.0
R94=3,252,92,30,-3.0,-1.5,0.0
R95=3,258,95,36,-3.0,-1.0,0.0
R96=3,264,97,47,-4.0,-3.0,0.0
R97=3,270,98,40,-6.0,-3.0,0.0
R98=3,276,97,57,-7.0,-5.0,0.0
R99=3,281,95,31,-7.0,-7.0,0.0
R100=3,288,91,45,-8.0,-7.0,0.0
R101=3,296,85,54,-8.0,-7.0,0.0
R102=3,302,82,20,-7.0,-8.0,0.0
R103=3,308,79,58,-6.0,-6.0,0.0
R104=3,314,79,17,-4.0,-6.0,0.0
R105=3,320,30,8,-3.0,-5.0,0.0
R106=3,326,82,16,-3.0,-4.5,0.0
R107=3,332,85,29,-2.0,-4.0,0.0
R108=3,338,89,33,-1.0,-4.0,0.0
R109=3,346,95,36,-1.0,-3.0,0.0
R110=3,354,102,54,-1.0,-2.0,0.0
R111=3,364,112,32,-1.0,-1.0,0.0
R112=3,374,123,9,0.0,-1.0,0.0
R113=3,379,139,24,0.0,0.0,0.0
R114=3,404,116,30,0.0,0.0,0.0
R115=3,424,173,51,0.5,0.0,0.0
R116=3,444,203,44,1.0,0.0,0.0
R117=3,474,240,31,1.5,1.0,0.0
R118=3,504,278,3,1.0,1.0,0.0
R119=3,544,327,56,0.0,0.5,0.0
R120=3,584,17,40,0.0,0.0,0.0
R121=4,0,17,40,0.0,0.0,0.0
R122=4,40,67,14,-1.0,0.0,0.0
R123=4,80,115,37,-1.0,-1.5,0.0
R124=4,110,151,58,0.0,-1.0,0.0
R125=4,140,188,8,0.0,0.0,0.0
R126=4,160,211,52,0.0,0.0,0.0
R127=4,180,236,17,-0.5,0.0,0.0
R128=4,195,252,6,-1.5,0.0,0.0
R129=4,210,268,35,-2.0,1.0,0.0
R130=4,220,279,10,-3.0,1.0,0.0
R131=4,230,281,12,-1.0,2.0,0.0
R132=4,238,216,44,-2.0,3.0,0.0
R133=4,246,301,24,-2.0,3.0,0.0
R134=4,252,307,54,-2.0,4.0,0.0
R135=4,258,311,35,-2.0,4.5,0.0
R136=4,214,314,18,-2.0,5.0,0.0
R137=4,270,315,55,-2.0,6.0,0.0
R138=4,276,315,2,-1.5,7.0,0.0
R139=4,282,314,25,-2.0,8.0,0.0
R140=4,288,311,17,-2.0,8.0,0.0
R141=4,296,302,42,-1.5,8.0,0.0
R142=4,302,302,2,0.0,7.0,0.0
R143=4,308,299,33,-1.0,6.0,0.0
R144=4,314,298,41,-2.0,4.5,0.0
R145=4,320,299,26,-1.5,3.0,0.0
R146=4,326,301,25,0.0,2.0,0.0
R147=4,332,304,24,0.0,2.0,0.0
R148=4,338,303,14,0.0,1.0,0.0
R149=4,346,314,30,0.0,1.0,0.0
R150=4,354,321,16,0.0,0.0,0.0
R151=4,364,330,54,0.0,0.0,0.0
R152=4,324,341,8,0.0,0.0,0.0
R153=4,389,357,20,0.0,0.0,0.0
R154=4,404,14,12,-1.0,0.0,0.0
R155=4,424,37,18,-2.0,0.0,0.0
R156=4,444,60,38,-1.5,1.0,0.0
R157=4,474,96,0,-1.0,1.5,0.0
R158=4,504,134,25,0.0,1.0,0.0
R159=4,544,171,50,0.0,0.0,0.0
R160=4,584,231,46,-1.0,0.0,0.0
R161=5,0,231,46,-1.0,0.0,0.0
R162=5,40,222,25,0.0,1.0,0.0
R163=5,80,332,30,0.0,0.0,0.0
R164=5,110,9,14,0.0,0.0,0.0
R165=5,140,45,31,-0.5,0.0,0.0
R166=5,160,69,18,-2.0,0.0,0.0
R167=5,130,92,17,-2.0,-1.0,0.0
R168=5,195,108,54,-2.0,-1.0,0.0
R169=5,210,124,30,-1.0,-2.0,0.0
R170=5,220,134,27,-1.0,-2.0,0.0
R171=5,230,143,43,-0.5,-2.0,0.0
R172=5,238,150,25,-0.5,-2.0,0.0
R173=5,246,156,24,0.0,-2.0,0.0
R174=5,252,160,8,0.0,-2.0,0.0
R175=5,258,162,59,0.0,-2.0,0.0
R176=5,264,164,45,0.0,-1.5,0.0
R177=5,270,165,8,0.0,-2.0,0.0
R178=5,276,166,53,0.0,-2.0,0.0
R179=5,282,161,5,0.0,-2.0,0.0
R180=5,288,157,4,0.0,-2.0,0.0
R181=5,296,151,27,0.0,-1.5,0.0
R182=5,302,148,12,0.0,1.0,0.0
R183=5,308,147,7,0.0,-1.0,0.0
R184=5,314,147,20,0.0,-0.5,0.0
R185=5,320,149,1,0.0,-0.5,0.0
R186=5,346,151,45,0.0,0.0,0.0
R187=5,332,155,30,0.0,0.0,0.0
R188=5,338,159,59,0.0,0.0,0.0
R189=5,346,166,18,0.0,0.0,0.0
R190=5,354,173,50,-0.5,0.0,0.0
R191=5,364,183,43,-1.5,0.0,0.0
R192=5,374,194,17,-1.0,0.0,0.0
R193=5,389,210,48,-2.0,0.0,0.0
R194=5,404,228,12,-2.0,1.0,0.0
R195=5,424,252,4,-1.0,1.5,0.0
R196=5,444,276,26,-1.0,1.5,0.0
R197=5,471,313,0,0.0,1.0,0.0
R198=5,504,349,41,0.0,0.0,0.0
R199=5,554,39,6,1.0,0.0,0.0
R200=5,584,88,8,1.0,-1.0,0.0
