R1=1,0,118,0,-7,0
R2=1,40,143,35,-7,0
R3=1,80,168,50,-6,0
R4=1,120,192,19,-4,0
R5=1,150,213,50,-1,0
R6=1,180,233,54,3,0
R7=1,210,252,33,7,0
R8=1,230,268,18,9,0
R9=1,250,282,5,11,0
R10=1,270,295,11,12,0
R11=1,285,304,51,13,0
R12=1,300,313,48,14,0
R13=1,315,321,6,15,0
R14=1,330,329,6,19,0
R15=1,340,333,7,22,0
R16=1,350,336,0,25,0
R17=1,360,338,37,28,0
R18=1,375,339,55,33,0
R19=1,380,339,48,37,0
R20=1,390,338,16,40,0
R21=1,400,335,57,41,0
R22=1,410,333,18,40,0
R23=1,420,333,22,34,0
R24=1,430,330,40,29,0
R25=1,440,331,12,27,0
R26=1,450,333,1,22,0
R27=1,465,337,30,16,0
R28=1,480,343,6,13,0
R29=1,495,350,6,9,0
R30=1,510,357,47,5,0
R31=1,520,7,39,3,0
R32=1,550,20,0,-2,0
R33=1,570,31,41,-4,0
R34=1,600,49,9,-4,0
R35=1,630,67,20,-7,0
R36=1,660,85,35,-7,0
R37=1,700,110,31,-6,0
R38=1,740,135,52,-7,0
R39=1,780,161,35,-6,0
R40=2,0,161,35,-6,0
R41=2,40,187,42,-2,0
R42=2,80,214,53,0,0
R43=2,120,243,35,5,0
R44=2,150,265,50,8,0
R45=2,160,288,12,9,0
R46=2,210,310,29,9,0
R47=2,230,324,58,9,0
R48=2,250,339,13,10,0
R49=2,270,353,15,11,0
R50=2,285,3,35,12,0
R51=2,300,13,7,10,0
R52=2,315,22,3,10,0
R53=2,330,30,24,9,0
R54=2,340,34,24,8,0
R55=2,350,39,25,7,0
R56=2,360,42,48,6,0
R57=2,370,45,8,6,0
R58=2,380,46,31,4,0
R59=2,390,46,6,4,0
R60=2,400,44,31,2,0
R61=2,410,41,7,2,0
R62=2,420,48,8,2,0
R63=2,430,34,40,1,0
R64=2,440,32,10,1,0
R65=2,450,33,50,-4,0
R66=2,465,31,25,-5,0
R67=2,480,34,27,-7,0
R68=2,495,39,1,-7,0
R69=2,510,34,55,-7,0
R70=2,530,53,59,-9,0
R71=2,550,4,16,-8,0
R72=2,570,75,6,-8,0
R73=2,600,92,18,-7,0
R74=2,630,110,3,-7,0
R75=2,650,128,52,-7,0
R76=2,700,154,0,-6,0
R77=2,740,180,7,-4,0
R78=2,780,207,40,1,0
R79=3,0,207,40,1,0
R80=3,40,115,13,5,0
R81=3,80,267,26,8,0
R82=3,120,298,20,8,0
R83=3,150,321,10,8,0
R84=3,180,343,57,9,0
R85=3,210,6,24,9,0
R86=3,230,20,2,7,0
R87=3,250,34,43,4,0
R88=3,270,47,45,1,0
R89=3,283,56,52,-1,0
R90=3,300,65,18,-3,0
R91=3,315,72,41,-6,0
R92=3,330,79,6,-8,0
R93=3,340,82,26,-11,0
R94=3,350,85,11,-14,0
R95=3,360,86,6,-16,0
R96=3,370,86,33,-16,0
R97=3,380,86,55,-21,0
R98=3,390,85,12,-23,0
R99=3,400,82,22,-25,0
R100=3,410,78,1,-25,0
R101=3,420,75,1,-22,0
R102=3,430,71,58,-23,0
R103=3,440,69,48,-22,0
R104=3,450,69,12,-17,0
R105=3,460,70,30,-15,0
R106=3,480,74,6,-13,0
R107=3,495,79,18,-12,0
R108=3,510,85,41,-10,0
R109=3,530,95,29,-8,0
R110=3,550,106,16,-8,0
R111=3,570,117,36,-6,0
R112=3,600,135,11,-7,0
R113=3,630,153,34,-6,0
R114=3,660,172,1,-4,0
R115=3,700,199,56,0,0
R116=3,740,229,15,5,0
R117=3,780,261,3,8,0
R118=4,0,260,3,8,0
R119=4,40,291,22,7,0
R120=4,80,322,25,7,0
R121=4,120,353,26,7,0
R122=4,150,16,3,5,0
R123=4,160,37,42,2,0
R124=4,210,57,52,0,0
R125=4,230,70,27,-4,0
R126=4,250,82,15,-6,0
R127=4,270,93,11,-8,0
R128=4,285,100,50,-10,0
R129=4,300,107,29,-11,0
R130=4,315,113,11,-14,0
R131=4,330,117,35,-18,0
R132=4,340,119,32,-17,0
R133=4,340,120,21,-19,0
R134=4,360,120,4,-20,0
R135=4,370,113,31,-23,0
R136=4,380,115,50,-25,0
R137=4,390,116,34,-24,0
R138=4,400,108,57,-26,0
R139=4,410,105,47,-22,0
R140=4,420,106,31,-21,0
R141=4,430,102,25,-20,0
R142=4,440,102,37,-16,0
R143=4,450,104,18,-14,0
R144=4,465,107,53,-13,0
R145=4,480,113,11,-12,0
R146=4,495,119,38,-12,0
R147=4,510,126,51,-9,0
R148=4,530,137,20,-8,0
R149=4,550,148,34,-7,0
R150=4,570,160,30,-5,0
R151=4,600,179,22,-2,0
R152=4,630,2052,2,0
R153=4,660,220,45,4,0
R154=4,700,252,25,7,0
R155=4,740,283,39,7,0
R156=4,780,314,48,8,0
R157=5,0,314,49,8,0
R158=5,40,342,11,7,0
R159=5,80,16,38,4,0
R160=5,120,45,18,0,0
R161=5,150,65,22,-4,0
R162=5,180,84,13,-8,0
R163=5,210,102,7,-8,0
R164=5,230,113,30,-8,0
R165=5,250,124,20,-9,0
R166=5,270,134,35,-9,0
R167=5,285,141,19,-10,0
R168=5,290,147,8,-12,0
R169=5,315,151,25,-14,0
R170=5,330,153,42,-18,0
R171=5,340,154,38,-21,0
R172=5,350,153,21,-23,0
R173=5,360,149,52,-25,0
R174=5,370,146,27,-28,0
R175=5,380,142,48,-28,0
R176=5,390,139,38,-27,0
R177=5,400,137,4,-26,0
R178=5,410,135,46,-22,0
R179=5,420,135,35,-18,0
R180=5,430,136,10,-17,0
R181=5,440,138,28,-14,0
R182=5,450,141,21,-13,0
R183=5,465,146,53,-10,0
R184=5,480,153,38,-8,0
R185=5,495,160,20,-5,0
R186=5,510,169,47,-2,0
R187=5,530,191,54,-1,0
R188=5,550,195,0,3,0
R189=5,570,208,51,5,0
R190=5,600,230,45,7,0
R191=5,630,253,31,8,0
R192=5,660,273,31,8,0
R193=5,700,307,22,8,0
R194=5,740,338,29,7,0
R195=5,770,8,56,4,0
R196=6,0,8,56,4,0
R197=6,40,37,51,-1,0
R198=6,80,64,57,-3,0
R199=6,120,90,32,-7,0
R200=6,150,109,3,-7,0
R201=6,180,127,10,-7,0
R202=6,210,144,40,-8,0
R203=6,230,155,40,-9,0
R204=6,250,165,56,-10,0
R205=6,270,175,6,-11,0
R206=6,285,180,55,-01,0
R207=6,300,185,33,-11,0
R208=6,315,187,18,-11,0
R209=6,330,188,35,-12,0
R210=6,340,187,12,-12,0
R211=6,360,183,22,-13,0
R212=6,360,180,41,-14,0
R213=6,370,175,50,-14,0
R214=6,380,173,32,-13,0
R215=6,390,171,51,-8,0
R216=6,400,171,22,-7,0
R217=6,410,171,59,-6,0
R218=6,420,173,55,-3,0
R219=6,430,176,51,-1,0
R220=6,440,180,35,1,0
R221=6,450,155,0,4,0
R222=6,465,192,44,4,0
R223=6,480,201,23,6,0
R224=6,495,210,50,7,0
R225=6,510,220,53,8,0
R226=6,530,234,52,10,0
R227=6,550,249,18,10,0
R228=6,570,264,3,9,0
R229=6,610,256,16,8,0
R230=6,630,308,53,8,0
R231=6,660,331,44,1,0
R232=6,700,1,38,4,0
R233=6,740,30,12,-1,0
R234=6,780,57,18,-4,0
R235=7,0,57,18,-4,0
R236=7,40,83,22,-6,0
R237=7,80,108,44,-7,0
R238=7,120,133,58,-7,0
R239=7,150,151,10,-7,0
R240=7,180,169,56,-7,0
R241=7,210,187,8,-6,0
R242=7,230,198,25,-5,0
R243=7,250,208,51,-3,0
R244=7,270,218,44,-1,0
R245=7,285,225,20,3,0
R246=7,300,231,2,5,0
R247=7,315,235,26,10,0
R248=7,330,237,46,14,0
R249=7,340,238,2,19,0
